A wise man once said: do not write clever code |, write embarrassingly obvious code
Chase perfection, celebrate progress |, repeat until good enough
Some questions have multiple optimal answers |, insufficiently specific questions
Please |, don't call it an "app"
The concept of a personal truth is a test |, of awareness in Hume's Guillotine
There is no shame in learning |, only stagnancy in the refusal thereof
One can be correct |, after risking being wrong
A victory for its own is desirable |, but ultimately hollow
Brute-force is to a search algorithm |, what Edison is to an inventor
Complacency leads to stagnancy |, stagnancy is death
That awesome thing is so "dank" |? So it's cold, damp, and miserable?
What is yeet |? yeet is yeet
Please don't compare features to sliced bread |, steamed rice on the other hand
For all its faults INGSOC is a proficient language designer |, seems applicable in software
Not every language have to be syntactically similar |, to C#
RNGesus likes you |, avoided a cringey quote by 1
RNGesus wasn't kind |, missed a good quote by 1
Heap corruption and data execution in sufficient quantity might birth the singularity |. Roko's Basilisk demands we write more shitty C++
Tenacity is a contributor to success |, though a poor substitute for flexibility
Money buys gratification |, a synthetic form of happiness
Low quality ceilings; high standards |, the essence of underappreciated jobs
Good programming languages empower us at our best |. Great languages control damage at our worst
Creative laziness is a statistical inevitability |. In AI it is known as Reward Hacking
A computer implements artificial stupidity |, ML implements artificial laziness
Hell naw... to the naw naw naw |... hell to the naw
The path to long term success is simple |, avoid failure
If at first one don't succeed |, they fail
One can not know what they do not know |, Dunning-Kruger in a nutshell
Never deceive one self |. Honesty comes from within
The seemingly infallible are worshiped by many |. The experienced distrusts them
Everyone is guaranteed one failure in life |. When it ends
No learning comes from being right |. Prefer to be wrong
The unique is interesting |. The typical are not
Being right six out of ten times is good enough for Peter Lynch |. What's your threshold?
